Lineup,Players,Salary,Score
1,"Craig Porter Jr., Lonzo Ball, Larry Nance Jr., De'Andre Hunter, Jusuf Nurkic, Collin Gillespie, Cam Spencer, Cedric Coward",33500,3.4650358706738427
2,"Jonas Valanciunas, Luka Doncic, Keyonte George, Kawhi Leonard, Evan Mobley, Jalen Smith, Jeremiah Fears, Olivier-Maxence Prosper",50000,4.237112650322027
3,"Craig Porter Jr., Lonzo Ball, Larry Nance Jr., De'Andre Hunter, Jusuf Nurkic, Collin Gillespie, Cam Spencer, Cedric Coward",33500,3.4650358706738427
4,"Jonas Valanciunas, Luka Doncic, Keyonte George, Kawhi Leonard, Evan Mobley, Jalen Smith, Jeremiah Fears, Olivier-Maxence Prosper",50000,4.237112650322027
5,"Craig Porter Jr., Lonzo Ball, Larry Nance Jr., De'Andre Hunter, Jusuf Nurkic, Collin Gillespie, Cam Spencer, Cedric Coward",33500,3.4650358706738427
6,"Jonas Valanciunas, Luka Doncic, Keyonte George, Kawhi Leonard, Evan Mobley, Jalen Smith, Jeremiah Fears, Olivier-Maxence Prosper",50000,4.237112650322027
7,"Craig Porter Jr., Lonzo Ball, Larry Nance Jr., De'Andre Hunter, Jusuf Nurkic, Collin Gillespie, Cam Spencer, Cedric Coward",33500,3.4650358706738427
8,"Jonas Valanciunas, Luka Doncic, Keyonte George, Kawhi Leonard, Evan Mobley, Jalen Smith, Jeremiah Fears, Olivier-Maxence Prosper",50000,4.237112650322027
9,"Craig Porter Jr., Lonzo Ball, Larry Nance Jr., De'Andre Hunter, Jusuf Nurkic, Collin Gillespie, Cam Spencer, Cedric Coward",33500,3.4650358706738427
10,"Jonas Valanciunas, Luka Doncic, Keyonte George, Kawhi Leonard, Evan Mobley, Jalen Smith, Jeremiah Fears, Olivier-Maxence Prosper",50000,4.237112650322027
11,"Craig Porter Jr., Lonzo Ball, Larry Nance Jr., De'Andre Hunter, Jusuf Nurkic, Collin Gillespie, Cam Spencer, Cedric Coward",33500,3.4650358706738427
12,"Jonas Valanciunas, Luka Doncic, Keyonte George, Kawhi Leonard, Evan Mobley, Jalen Smith, Jeremiah Fears, Olivier-Maxence Prosper",50000,4.237112650322027
13,"Craig Porter Jr., Lonzo Ball, Larry Nance Jr., De'Andre Hunter, Jusuf Nurkic, Collin Gillespie, Cam Spencer, Cedric Coward",33500,3.4650358706738427
14,"Jonas Valanciunas, Luka Doncic, Keyonte George, Kawhi Leonard, Evan Mobley, Jalen Smith, Jeremiah Fears, Olivier-Maxence Prosper",50000,4.237112650322027
15,"Craig Porter Jr., Lonzo Ball, Larry Nance Jr., De'Andre Hunter, Jusuf Nurkic, Collin Gillespie, Cam Spencer, Cedric Coward",33500,3.4650358706738427
16,"Jonas Valanciunas, Luka Doncic, Keyonte George, Kawhi Leonard, Evan Mobley, Jalen Smith, Jeremiah Fears, Olivier-Maxence Prosper",50000,4.237112650322027
17,"Craig Porter Jr., Lonzo Ball, Larry Nance Jr., De'Andre Hunter, Jusuf Nurkic, Collin Gillespie, Cam Spencer, Cedric Coward",33500,3.4650358706738427
18,"Jonas Valanciunas, Luka Doncic, Keyonte George, Kawhi Leonard, Evan Mobley, Jalen Smith, Jeremiah Fears, Olivier-Maxence Prosper",50000,4.237112650322027
19,"Craig Porter Jr., Lonzo Ball, Larry Nance Jr., De'Andre Hunter, Jusuf Nurkic, Collin Gillespie, Cam Spencer, Cedric Coward",33500,3.4650358706738427
20,"Jonas Valanciunas, Luka Doncic, Keyonte George, Kawhi Leonard, Evan Mobley, Jalen Smith, Jeremiah Fears, Olivier-Maxence Prosper",50000,4.237112650322027
21,"Craig Porter Jr., Lonzo Ball, Larry Nance Jr., De'Andre Hunter, Jusuf Nurkic, Collin Gillespie, Cam Spencer, Cedric Coward",33500,3.4650358706738427
22,"Jonas Valanciunas, Luka Doncic, Keyonte George, Kawhi Leonard, Evan Mobley, Jalen Smith, Jeremiah Fears, Olivier-Maxence Prosper",50000,4.237112650322027
23,"Craig Porter Jr., Lonzo Ball, Larry Nance Jr., De'Andre Hunter, Jusuf Nurkic, Collin Gillespie, Cam Spencer, Cedric Coward",33500,3.4650358706738427
24,"Jonas Valanciunas, Luka Doncic, Keyonte George, Kawhi Leonard, Evan Mobley, Jalen Smith, Jeremiah Fears, Olivier-Maxence Prosper",50000,4.237112650322027
25,"Craig Porter Jr., Lonzo Ball, Larry Nance Jr., De'Andre Hunter, Jusuf Nurkic, Collin Gillespie, Cam Spencer, Cedric Coward",33500,3.4650358706738427
26,"Jonas Valanciunas, Luka Doncic, Keyonte George, Kawhi Leonard, Evan Mobley, Jalen Smith, Jeremiah Fears, Olivier-Maxence Prosper",50000,4.237112650322027
27,"Craig Porter Jr., Lonzo Ball, Larry Nance Jr., De'Andre Hunter, Jusuf Nurkic, Collin Gillespie, Cam Spencer, Cedric Coward",33500,3.4650358706738427
28,"Jonas Valanciunas, Luka Doncic, Keyonte George, Kawhi Leonard, Evan Mobley, Jalen Smith, Jeremiah Fears, Olivier-Maxence Prosper",50000,4.237112650322027
29,"Craig Porter Jr., Lonzo Ball, Larry Nance Jr., De'Andre Hunter, Jusuf Nurkic, Collin Gillespie, Cam Spencer, Cedric Coward",33500,3.4650358706738427
30,"Jonas Valanciunas, Luka Doncic, Keyonte George, Kawhi Leonard, Evan Mobley, Jalen Smith, Jeremiah Fears, Olivier-Maxence Prosper",50000,4.237112650322027
